candidate_id,rank,score,reasoning
CAND_0087630,13,0.8404,"Highly relevant 7.2-year AI Engineer at product company (Vedantu, Haptik). Possesses expertise in Elasticsearch, Learning to Rank, QLoRA; active 83 days ago with notice period of 30 days."
CAND_0027691,14,0.8394,"Highly relevant 6.5-year NLP Engineer at product company (Haptik, Vedantu). Possesses expertise in LoRA, PEFT, Weaviate; active 68 days ago with notice period of 15 days."
CAND_0010685,15,0.8373,"Highly relevant 6.7-year NLP Engineer at product company (Rephrase.ai, Microsoft). Possesses expertise in Elasticsearch, RAG; active 83 days ago with notice period of 30 days."
CAND_0046064,16,0.836,"Highly relevant 8.9-year Senior NLP Engineer at product company (Salesforce, Verloop.io). Possesses expertise in Python, Pinecone, OpenSearch; active 42 days ago with notice period of 30 days."
CAND_0042029,17,0.8356,"Highly relevant 6.5-year Senior Data Scientist at product company (Flipkart, Observe.AI). Possesses expertise in RAG, Elasticsearch, Embeddings; active 55 days ago with notice period of 45 days."
CAND_0074123,18,0.8353,"Highly relevant 6.9-year Data Scientist at product company (CRED, Saarthi.ai). Possesses skills in Object Detection, pgvector, NLP; active 78 days ago with notice period of 30 days."
CAND_0083879,19,0.8347,"Highly relevant 7.1-year Machine Learning Engineer at product company (Ola, PhonePe). Possesses expertise in Milvus; active 51 days ago with notice period of 30 days."
CAND_0077337,20,0.8288,"Highly relevant 7.0-year Staff Machine Learning Engineer at product company (Paytm, Razorpay). Possesses expertise in QLoRA, Pinecone, RAG; recently active on platform with notice period of 60 days."
CAND_0037980,21,0.8286,"Highly relevant 9.0-year Senior Applied Scientist at product company (Niramai, Verloop.io). Possesses expertise in LoRA, QLoRA; active 71 days ago with notice period of 0 days."
CAND_0006567,22,0.8265,"Highly relevant 7.9-year Senior AI Engineer at product company (Meta, Razorpay). Possesses expertise in Python; active 35 days ago with notice period of 60 days."
CAND_0005260,23,0.8236,"Highly relevant 5.2-year Senior NLP Engineer at product company (Netflix, Yellow.ai). Possesses expertise in Python, LoRA, RAG; recently active on platform with notice period of 60 days."
CAND_0079284,24,0.8226,"Highly relevant 4.9-year Machine Learning Engineer at product company (Google, Swiggy). Possesses expertise in QLoRA, Qdrant, Elasticsearch; active 57 days ago with notice period of 30 days."
CAND_0080766,25,0.8207,"Highly relevant 8.8-year Staff Machine Learning Engineer at product company (Salesforce, Aganitha). Possesses expertise in LoRA, Elasticsearch, QLoRA; active 59 days ago with notice period of 0 days."
CAND_0079387,26,0.8206,"Highly relevant 6.9-year AI Engineer at product company (Microsoft, upGrad). Possesses expertise in Python, OpenSearch, QLoRA; active 43 days ago with notice period of 30 days."
CAND_0069638,27,0.8183,"Highly relevant 6.2-year Computer Vision Engineer at product company (Swiggy, Zomato). Possesses expertise in PEFT, Pinecone; active 39 days ago with notice period of 30 days."
CAND_0037944,28,0.8182,"Highly relevant 4.9-year Senior Data Scientist at product company (Vedantu, PolicyBazaar). Possesses expertise in QLoRA, OpenSearch, Embeddings; active 77 days ago with notice period of 30 days."
CAND_0049538,29,0.8164,"Highly relevant 5.8-year Applied ML Engineer at product company (Saarthi.ai, PolicyBazaar). Possesses expertise in Learning to Rank, OpenSearch, Milvus; recently active on platform with notice period of 30 days."
CAND_0043228,30,0.8152,"Highly relevant 6.8-year Applied ML Engineer at product company (Zoho, Vedantu). Possesses expertise in Weaviate, Learning to Rank, OpenSearch; recently active on platform with notice period of 30 days."
CAND_0010770,31,0.8139,"Qualified Recommendation Systems Engineer with 15.2 years experience at product company (Aganitha, Verloop.io). Offers expertise in Qdrant, Learning to Rank. active 33 days ago, 30d notice."
CAND_0081852,32,0.8111,"Qualified Senior Data Scientist with 5.9 years experience at product company (Mad Street Den, Nykaa). Offers expertise in Milvus, Weaviate, LoRA. recently active on platform, 45d notice."
CAND_0030031,33,0.8093,"Qualified AI Engineer with 5.7 years experience at product company (Microsoft, Amazon). Offers expertise in Python, RAG, LoRA. recently active on platform, 30d notice."
CAND_0064270,34,0.8046,"Qualified Applied ML Engineer with 4.2 years experience at product company (Verloop.io, Uber). Offers expertise in Learning to Rank, Embeddings, OpenSearch. active 79 days ago, 45d notice."
CAND_0071974,35,0.8008,"Qualified Senior AI Engineer with 7.8 years experience at product company (Netflix, Meta). Offers expertise in LoRA, Learning to Rank, Weaviate. active 52 days ago, 45d notice."
CAND_0005649,36,0.8002,"Qualified Senior Data Scientist with 7.4 years experience at product company (Sarvam AI, Aganitha). Offers expertise in QLoRA, Weaviate, RAG. active 54 days ago, 90d notice."
CAND_0009024,37,0.799,"Qualified Search Engineer with 5.2 years experience at product company (Google, Aganitha). Offers expertise in Qdrant, PEFT, FAISS. active 59 days ago, 30d notice."
CAND_0098846,38,0.7979,"Qualified AI Engineer with 7.6 years experience at product company (upGrad, Meesho). Offers expertise in PEFT, QLoRA, Qdrant. active 45 days ago, 45d notice."
CAND_0013665,39,0.7957,"Qualified Senior Software Engineer (ML) with 5.2 years experience at product company (InMobi, Ola). Offers expertise in Learning to Rank, Qdrant, QLoRA. recently active on platform, 30d notice."
CAND_0064326,40,0.7948,"Qualified Search Engineer with 7.6 years experience at product company (Sarvam AI, Aganitha). Offers expertise in Milvus, Weaviate, RAG. recently active on platform, 45d notice."
CAND_0015493,41,0.7899,"Qualified Data Scientist with 6.4 years experience at product company (CRED, Niramai). Offers expertise in LoRA. active 44 days ago, 30d notice."
CAND_0048558,42,0.7889,"Qualified Data Scientist with 6.7 years experience at product company (Rephrase.ai, Aganitha). Offers expertise in OpenSearch, Qdrant, Elasticsearch. recently active on platform, 30d notice."
CAND_0087364,43,0.7882,"Qualified Recommendation Systems Engineer with 4.9 years experience at product company (Glance, Rephrase.ai). Offers expertise in Qdrant, Milvus, Pinecone. active 38 days ago, 30d notice."
CAND_0072091,44,0.7867,"Qualified ML Engineer with 4.6 years experience at product company (Krutrim, Meesho). Offers expertise in Elasticsearch. active 43 days ago, 30d notice."
CAND_0010541,45,0.7836,"Qualified AI Research Engineer with 6.2 years experience at product company (Wysa). Offers expertise in Pinecone, Weaviate, LoRA. inactive, 60d notice."
CAND_0039521,46,0.7834,"Qualified Search Engineer with 3.0 years experience at product company (Salesforce). Offers expertise in PEFT, Weaviate, Embeddings. active 57 days ago, 30d notice."
CAND_0064130,47,0.7828,"Qualified AI Research Engineer with 6.7 years experience at product company (Unacademy). Offers expertise in LoRA, Python. inactive, 45d notice."
CAND_0014440,48,0.7818,"Qualified Recommendation Systems Engineer with 6.4 years experience at product company (CRED, Freshworks). Offers expertise in Elasticsearch, Milvus, FAISS. recently active on platform, 60d notice."
CAND_0042506,49,0.7812,"Qualified Search Engineer with 4.2 years experience at product company (Verloop.io, Meesho). Offers expertise in PEFT, Milvus, Qdrant. recently active on platform, 15d notice."
CAND_0067643,50,0.7794,"Qualified AI Research Engineer with 6.0 years experience at product company (PhonePe, PolicyBazaar). Offers expertise in Elasticsearch, Learning to Rank, Qdrant. active 79 days ago, 60d notice."
CAND_0044222,51,0.7787,"Qualified AI Engineer with 7.7 years experience at product company (PolicyBazaar, InMobi). Offers expertise in OpenSearch, Qdrant, Weaviate. recently active on platform, 60d notice."
CAND_0058575,52,0.7775,"Qualified AI Engineer with 5.8 years experience at product company (Krutrim, Aganitha). Offers expertise in Pinecone. active 63 days ago, 90d notice."
CAND_0099806,53,0.7742,"Qualified AI Engineer with 4.6 years experience at product company (Mad Street Den, upGrad). Offers expertise in LoRA, RAG, FAISS. active 33 days ago, 30d notice."
CAND_0098952,54,0.7735,"Qualified AI Research Engineer with 5.5 years experience at product company (CRED, Rephrase.ai). Offers expertise in QLoRA, OpenSearch, Python. inactive, 45d notice."
CAND_0096104,55,0.773,"Qualified AI Specialist with 7.0 years experience at product company (Yellow.ai, Paytm). Offers expertise in Pinecone, PEFT. active 31 days ago, 30d notice."
CAND_0039383,56,0.7727,"Qualified Applied ML Engineer with 7.1 years experience at product company (Meesho, Swiggy). Offers expertise in FAISS, QLoRA, LoRA. active 80 days ago, 90d notice."
CAND_0006538,57,0.7715,"Qualified AI Specialist with 5.7 years experience at product company (Dream11, PhonePe). Offers expertise in Elasticsearch, Learning to Rank, PEFT. active 62 days ago, 60d notice."
CAND_0076831,58,0.7709,"Qualified Search Engineer with 4.0 years experience at product company (Krutrim, Zomato). Offers expertise in Milvus, Weaviate. recently active on platform, 90d notice."
CAND_0067717,59,0.7708,"Qualified AI Specialist with 6.9 years experience at product company (Aganitha, BYJU'S). Offers expertise in FAISS, Python, PEFT. active 31 days ago, 60d notice."
CAND_0049771,60,0.7706,"Qualified AI Research Engineer with 5.0 years experience at product company (Wysa, upGrad). Offers expertise in Python, Pinecone. inactive, 60d notice."
CAND_0030468,61,0.7699,"Qualified Senior Applied Scientist with 5.4 years experience at product company (Swiggy, CRED). Offers expertise in OpenSearch, Milvus. active 35 days ago, 45d notice."
CAND_0026716,62,0.769,"Qualified Computer Vision Engineer with 5.6 years experience at product company (PharmEasy, Swiggy). Offers expertise in Weaviate, Pinecone. recently active on platform, 60d notice."
CAND_0033179,63,0.7673,"Qualified AI Research Engineer with 6.9 years experience at product company (CRED). Offers expertise in OpenSearch. recently active on platform, 30d notice."
CAND_0010149,64,0.7653,"Qualified ML Engineer with 6.9 years experience at product company (Glance, InMobi). Offers expertise in Milvus, Learning to Rank, PEFT. recently active on platform, 90d notice."
CAND_0052682,65,0.7643,"Qualified NLP Engineer with 6.6 years experience at product company (Aganitha, Salesforce). Offers expertise in QLoRA, FAISS, Python. active 71 days ago, 30d notice."
CAND_0037160,66,0.7627,"Qualified Data Scientist with 6.0 years experience at product company (Haptik, Verloop.io). Offers expertise in Weaviate, Embeddings. active 71 days ago, 30d notice."
CAND_0032089,67,0.7611,"Qualified ML Engineer with 6.6 years experience at product company (Saarthi.ai, Niramai). Offers expertise in Pinecone, Python, Milvus. active 86 days ago, 45d notice."
CAND_0058412,68,0.7584,"Qualified Senior Software Engineer (ML) with 6.6 years experience at product company (InMobi, Nykaa). Offers expertise in Embeddings, Milvus, RAG. active 86 days ago, 60d notice."
CAND_0003841,69,0.7572,"Qualified ML Engineer with 5.0 years experience at product company (InMobi). Offers expertise in Pinecone. active 90 days ago, 30d notice."
CAND_0041402,70,0.7572,"Qualified AI Specialist with 6.3 years experience at product company (Ola, Observe.AI). Offers expertise in RAG, LoRA. active 39 days ago, 60d notice."
CAND_0065786,71,0.7572,"Qualified AI Specialist with 4.9 years experience at product company (Swiggy, PhonePe). Offers expertise in LoRA, Learning to Rank, Pinecone. recently active on platform, 45d notice."
CAND_0067866,72,0.7561,"Qualified Senior Software Engineer (ML) with 6.4 years experience at product company (Freshworks, Paytm). Offers expertise in Embeddings, Elasticsearch, LoRA. recently active on platform, 45d notice."
CAND_0095528,73,0.7554,"Qualified Senior Data Scientist with 5.3 years experience at product company (Netflix, Adobe). Offers expertise in OpenSearch, Qdrant, Elasticsearch. active 35 days ago, 45d notice."
CAND_0064904,74,0.7547,"Qualified AI Engineer with 4.9 years experience at product company (LinkedIn, Freshworks). Offers expertise in Embeddings, Elasticsearch, Python. active 82 days ago, 90d notice."
CAND_0060315,75,0.7536,"Qualified Senior Software Engineer (ML) with 5.4 years experience at product company (Glance, Unacademy). Offers expertise in Milvus, QLoRA, Learning to Rank. inactive, 90d notice."
CAND_0040117,76,0.7521,"Qualified Recommendation Systems Engineer with 6.5 years experience at product company (PhonePe, Salesforce). Offers expertise in Embeddings, RAG, FAISS. active 82 days ago, 15d notice."
CAND_0019288,77,0.7516,"Qualified AI Research Engineer with 5.7 years experience at product company (Paytm, Meesho). Offers expertise in FAISS, OpenSearch. active 35 days ago, 30d notice."
CAND_0052195,78,0.7516,"Qualified Computer Vision Engineer with 6.3 years experience at product company (Sarvam AI, PolicyBazaar). Offers expertise in LoRA. active 34 days ago, 30d notice."
CAND_0041610,79,0.751,"Qualified Recommendation Systems Engineer with 6.7 years experience at product company (Zoho, Observe.AI). Offers expertise in LoRA, Elasticsearch, OpenSearch. recently active on platform, 30d notice."
CAND_0012988,80,0.749,"Qualified Senior Software Engineer (ML) with 4.3 years experience at product company (Niramai, Nykaa). Offers skills in Feature Engineering, Hugging Face Transformers, Forecasting. inactive, 60d notice."
CAND_0008425,81,0.7475,"Qualified Senior NLP Engineer with 7.8 years experience at product company (Ola, Zomato). Offers expertise in Learning to Rank, Qdrant, Python. active 43 days ago, 90d notice."
CAND_0084681,82,0.7474,"Qualified AI Specialist with 3.5 years experience at product company (Zomato, upGrad). Offers expertise in Python, Learning to Rank, PEFT. recently active on platform, 60d notice."
CAND_0092278,83,0.7472,"Qualified Senior NLP Engineer with 6.8 years experience at product company (Microsoft, Paytm). Offers expertise in QLoRA, Elasticsearch, Milvus. inactive, 90d notice."
CAND_0082489,84,0.7464,"Qualified ML Engineer with 5.3 years experience at product company (InMobi, CRED). Offers expertise in Weaviate, PEFT, RAG. inactive, 90d notice."
CAND_0081053,85,0.7447,"Qualified NLP Engineer with 5.4 years experience at product company (Glance, Salesforce). Offers expertise in LoRA, QLoRA, Qdrant. active 68 days ago, 90d notice."
CAND_0093883,86,0.7441,"Qualified AI Research Engineer with 5.0 years experience at product company (Wysa, PharmEasy). Offers expertise in Qdrant, LoRA, Embeddings. recently active on platform, 60d notice."
CAND_0025640,87,0.7439,"Qualified AI Research Engineer with 5.6 years experience at product company (Yellow.ai). Offers expertise in PEFT, FAISS, OpenSearch. active 35 days ago, 30d notice."
CAND_0027723,88,0.7423,"Qualified ML Engineer with 4.2 years experience at product company (Wysa, Yellow.ai). Offers expertise in Elasticsearch, Pinecone. inactive, 30d notice."
CAND_0030348,89,0.7418,"Qualified Machine Learning Engineer with 4.5 years experience at product company (BYJU'S, PolicyBazaar). Offers expertise in Embeddings, Elasticsearch, Python. active 69 days ago, 45d notice."
CAND_0060072,90,0.7404,"Qualified Staff Machine Learning Engineer with 5.7 years experience at product company (Amazon, Wysa). Offers expertise in Milvus, Qdrant, Embeddings. inactive, 90d notice."
CAND_0092706,91,0.7399,"Qualified AI Research Engineer with 5.8 years experience at product company (Unacademy, Glance). Offers skills in Weights & Biases, Speech Recognition, Data Science. recently active on platform, 120d notice."
CAND_0041669,92,0.7381,"Qualified Recommendation Systems Engineer with 8.0 years experience at product company (CRED, Mad Street Den). Offers expertise in FAISS, Milvus, PEFT. active 62 days ago, 60d notice."
CAND_0011162,93,0.7359,"Qualified Recommendation Systems Engineer with 5.8 years experience at product company (upGrad, Meesho). Offers expertise in FAISS, LoRA, Milvus. recently active on platform, 90d notice."
CAND_0057563,94,0.7359,"Qualified NLP Engineer with 6.8 years experience at product company (Locobuzz, Yellow.ai). Offers expertise in RAG, Elasticsearch, OpenSearch. active 47 days ago, 60d notice."
CAND_0010257,95,0.7337,"Qualified Senior Data Scientist with 6.5 years experience at product company (Google, PharmEasy). Offers expertise in Milvus, Python, OpenSearch. recently active on platform, 120d notice."
CAND_0059795,96,0.7325,"Qualified Senior Software Engineer (ML) with 5.6 years experience at product company (Locobuzz, Wysa). Offers expertise in Python. inactive, 45d notice."
CAND_0044855,97,0.7323,"Qualified Senior Data Scientist with 6.6 years experience at product company (Flipkart, LinkedIn). Offers expertise in Learning to Rank, OpenSearch, Pinecone. active 44 days ago, 60d notice."
CAND_0050876,98,0.7322,"Qualified Applied ML Engineer with 6.0 years experience at product company (Freshworks, Yellow.ai). Offers expertise in Qdrant, FAISS, OpenSearch. recently active on platform, 90d notice."
CAND_0004402,99,0.7305,"Qualified AI Research Engineer with 6.0 years experience at product company (Yellow.ai, Zomato). Offers expertise in OpenSearch, PEFT, Learning to Rank. recently active on platform, 60d notice."
CAND_0078508,100,0.7281,"Qualified AI Research Engineer with 5.2 years experience at product company (Rephrase.ai, Glance). Offers expertise in Embeddings, Weaviate. active 51 days ago, 30d notice."
